date,year,month,revenue_million,subscriptions_million,marketing_spend_million,ad_spend_million,avg_watch_time_hours,customer_satisfaction,competitor_price_index,gdp_growth,orders,average_order_value,content_genre,subscription_type,region,stock_price,stock_price_next_month,performance_up_next_month
2015-01-31,2015,1,8149.01,77.8,392.49,160.48,3.51,3.89,0.96,5.14,648333,12569.17,Kids,Standard,North America,351.37,352.85,1
2015-02-28,2015,2,7962.52,76.92,273.1,212.68,3.9,3.7,1.08,4.13,641000,12422.03,Reality,Standard,Middle East & Africa,352.85,353.72,1
2015-03-31,2015,3,8202.31,75.26,372.09,260.76,4.3,3.89,1.03,6.07,627166,13078.37,Kids,Basic,North America,353.72,353.86,1
2015-04-30,2015,4,8468.92,73.92,288.85,127.43,1.56,4.08,1.11,1.77,616000,13748.25,Reality,Standard,Asia-Pacific,353.86,354.85,1
2015-05-31,2015,5,7945.77,76.68,532.88,216.14,1.96,4.91,1.13,3.8,639000,12434.69,Reality,Premium,Europe,354.85,355.42,1
2015-06-30,2015,6,7949.78,76.14,581.69,201.1,4.16,4.42,0.9,2.22,634500,12529.2,Documentary,Premium,Middle East & Africa,355.42,357.14,1
2015-07-31,2015,7,8497.79,77.21,275.31,128.82,2.88,4.75,1.2,3.54,643416,13207.3,Movies,Premium,North America,357.14,357.73,1
2015-08-31,2015,8,8258.26,76.76,584.29,224.8,3.19,4.57,1.19,2.1,639666,12910.27,Reality,Basic,Europe,357.73,357.38,0
2015-09-30,2015,9,7891.19,77.66,432.9,154.73,3.49,3.67,1.05,0.01,647166,12193.46,Series,Standard,Latin America,357.38,357.38,0
2015-10-31,2015,10,8198.8,74.56,354.85,197.57,3.54,4.6,0.92,2.56,621333,13195.5,Kids,Basic,Asia-Pacific,357.38,358.06,1
2015-11-30,2015,11,7901.01,78.34,276.9,116.45,4.3,3.91,1.2,2.73,652833,12102.65,Series,Premium,Asia-Pacific,358.06,358.82,1
2015-12-31,2015,12,7904.33,76.17,425.22,191.92,4.49,4.46,1.28,4.98,634750,12452.67,Kids,Standard,Middle East & Africa,358.82,360.49,1
2016-01-31,2016,1,8120.64,79.99,528.08,161.29,3.66,4.01,1.0,4.38,666583,12182.49,Documentary,Premium,North America,360.49,361.28,1
2016-02-29,2016,2,7478.07,74.53,497.48,264.48,2.36,5.0,1.03,3.81,621083,12040.37,Reality,Standard,Latin America,361.28,361.11,0
2016-03-31,2016,3,7538.58,79.45,267.58,111.4,4.14,3.9,0.97,-0.59,662083,11386.16,Movies,Standard,Middle East & Africa,361.11,361.84,1
